"Category","Name","Source","Destination","HasSkillMd"
"07_自动化MCP浏览器与Agent Skills","ai4scholar-scholar-mode-projects","本地分类库","本地Skills功能分类库\07_自动化MCP浏览器与Agent Skills\ai4scholar-scholar-mode-projects","True"
"07_自动化MCP浏览器与Agent Skills","claude-api","本地分类库","本地Skills功能分类库\07_自动化MCP浏览器与Agent Skills\claude-api","True"
"07_自动化MCP浏览器与Agent Skills","find-skills","本地分类库","本地Skills功能分类库\07_自动化MCP浏览器与Agent Skills\find-skills","True"
"07_自动化MCP浏览器与Agent Skills","mcp-builder","本地分类库","本地Skills功能分类库\07_自动化MCP浏览器与Agent Skills\mcp-builder","True"
"07_自动化MCP浏览器与Agent Skills","parallel-web","本地分类库","本地Skills功能分类库\07_自动化MCP浏览器与Agent Skills\parallel-web","True"
"07_自动化MCP浏览器与Agent Skills","self-improving-agent","本地分类库","本地Skills功能分类库\07_自动化MCP浏览器与Agent Skills\self-improving-agent","True"
"07_自动化MCP浏览器与Agent Skills","skill-creator","本地分类库","本地Skills功能分类库\07_自动化MCP浏览器与Agent Skills\skill-creator","True"
"07_自动化MCP浏览器与Agent Skills","skillhub-preference","本地分类库","本地Skills功能分类库\07_自动化MCP浏览器与Agent Skills\skillhub-preference","True"
"07_自动化MCP浏览器与Agent Skills","tavily-search","本地分类库","本地Skills功能分类库\07_自动化MCP浏览器与Agent Skills\tavily-search","True"
"07_自动化MCP浏览器与Agent Skills","webapp-testing","本地分类库","本地Skills功能分类库\07_自动化MCP浏览器与Agent Skills\webapp-testing","True"
"07_自动化MCP浏览器与Agent Skills","web-browsing","本地分类库","本地Skills功能分类库\07_自动化MCP浏览器与Agent Skills\web-browsing","True"
"08_图表PPT海报与可视化Skills","ai4scholar-sci-draw","本地分类库","本地Skills功能分类库\08_图表PPT海报与可视化Skills\ai4scholar-sci-draw","True"
"08_图表PPT海报与可视化Skills","generate-image","本地分类库","本地Skills功能分类库\08_图表PPT海报与可视化Skills\generate-image","True"
"08_图表PPT海报与可视化Skills","infographics","本地分类库","本地Skills功能分类库\08_图表PPT海报与可视化Skills\infographics","True"
"08_图表PPT海报与可视化Skills","latex-posters","本地分类库","本地Skills功能分类库\08_图表PPT海报与可视化Skills\latex-posters","True"
"08_图表PPT海报与可视化Skills","paper-2-web","本地分类库","本地Skills功能分类库\08_图表PPT海报与可视化Skills\paper-2-web","True"
"08_图表PPT海报与可视化Skills","paper-slide-deck","本地分类库","本地Skills功能分类库\08_图表PPT海报与可视化Skills\paper-slide-deck","True"
"08_图表PPT海报与可视化Skills","pptx-posters","本地分类库","本地Skills功能分类库\08_图表PPT海报与可视化Skills\pptx-posters","True"
"08_图表PPT海报与可视化Skills","scientific-schematics","本地分类库","本地Skills功能分类库\08_图表PPT海报与可视化Skills\scientific-schematics","True"
"08_图表PPT海报与可视化Skills","scientific-slides","本地分类库","本地Skills功能分类库\08_图表PPT海报与可视化Skills\scientific-slides","True"
"10_情景实验与行为研究Skills","scenario-experiment-analysis","本地分类库","本地Skills功能分类库\10_情景实验与行为研究Skills\scenario-experiment-analysis","True"
"10_情景实验与行为研究Skills","scenario-experiment-benchmark-mining","本地分类库","本地Skills功能分类库\10_情景实验与行为研究Skills\scenario-experiment-benchmark-mining","True"
"10_情景实验与行为研究Skills","scenario-experiment-design","本地分类库","本地Skills功能分类库\10_情景实验与行为研究Skills\scenario-experiment-design","True"
"10_情景实验与行为研究Skills","scenario-experiment-reporting","本地分类库","本地Skills功能分类库\10_情景实验与行为研究Skills\scenario-experiment-reporting","True"
"11_期刊论文排版与投稿格式Skills","journal-abstract-keywords","本地分类库","本地Skills功能分类库\11_期刊论文排版与投稿格式Skills\journal-abstract-keywords","True"
"11_期刊论文排版与投稿格式Skills","journal-blind-review-anonymizer","本地分类库","本地Skills功能分类库\11_期刊论文排版与投稿格式Skills\journal-blind-review-anonymizer","True"
